Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4724-ND,FK28C0G1H680J,TDK Corporation,CAP CER 68PF 50V 5% RADIAL,7707,0,0.29,0,1,Bulk,FK,68pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,68pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5258-ND,FK28X7R1H104K,TDK Corporation,CAP CER 0.1UF 50V 10% RADIAL,0,0,0.3,0,1,Bulk,FK,0.1åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4725-ND,FK28C0G1H820J,TDK Corporation,CAP CER 82PF 50V 5% RADIAL,5306,0,0.29,0,1,Bulk,FK,82pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,82pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4730-ND,FK28C0G1H221J,TDK Corporation,CAP CER 220PF 50V 5% RADIAL,4629,0,0.29,0,1,Bulk,FK,220pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,220pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5256-ND,FK28X7R1H473K,TDK Corporation,CAP CER 0.047UF 50V 10% RADIAL,4340,0,0.29,0,1,Bulk,FK,0.047åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.047åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4762-ND,FK18C0G1H180J,TDK Corporation,CAP CER 18PF 50V 5% RADIAL,3009,0,0.29,0,1,Bulk,FK,18pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,18pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5255-ND,FK28X7R1H333K,TDK Corporation,CAP CER 0.033UF 50V 10% RADIAL,3464,0,0.29,0,1,Bulk,FK,0.033åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.033åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8571-ND,FK28C0G1H010C,TDK Corporation,CAP CER 1PF 50V RADIAL,3421,0,0.29,0,1,Bulk,FK,1pF,å±0.25pF,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,1pF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5254-ND,FK28X7R1H223K,TDK Corporation,CAP CER 0.022UF 50V 10% RADIAL,3182,0,0.29,0,1,Bulk,FK,0.022åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.022åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4768-ND,FK18C0G1H560J,TDK Corporation,CAP CER 56PF 50V 5% RADIAL,3110,0,0.29,0,1,Bulk,FK,56pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,#N/A,,56pF,,
