"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-6419-1-ND,GRM188R71A334KA61D,Murata Electronics North America,CAP CER 0.33UF 10V 10% X7R 0603,11230,0,0.19,0,1,Cut Tape (CT),GRM,0.33ÂuF,Â±10%,10V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.33ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1538-1-ND,GRM188R61A334KA61D,Murata Electronics North America,CAP CER 0.33UF 10V 10% X5R 0603,7750,0,0.19,0,1,Cut Tape (CT),GRM,0.33ÂuF,Â±10%,10V,X5R,"Surface Mount, MLCC",-55Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.33ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-3294-1-ND,GRM188R71C334KA01D,Murata Electronics North America,CAP CER 0.33UF 16V 10% X7R 0603,92156,0,0.14,0,1,Cut Tape (CT),GRM,0.33ÂuF,Â±10%,16V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,STOCK,0.33ÂuFSTOCK,,2012-0805_CERAMIC
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1579-1-ND,GRM188F51C334ZA01D,Murata Electronics North America,CAP CER 0.33UF 16V Y5V 0603,16327,0,0.17,0,1,Cut Tape (CT),GRM,0.33ÂuF,"-20%, +80%",16V,Y5V (F),"Surface Mount, MLCC",-30Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.33ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-6438-1-ND,GRM188R72A103KA01D,Murata Electronics North America,CAP CER 10000PF 100V X7R 0603,24337,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,STOCK,10000pFSTOCK,,2012-0805_CERAMIC
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9734-1-ND,GRM188R71H103JA01D,Murata Electronics North America,CAP CER 10000PF 50V 5% X7R 0603,3040,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±5%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1520-1-ND,GRM188R71E103KA01D,Murata Electronics North America,CAP CER 10000PF 25V 10% X7R 0603,311615,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±10%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1512-1-ND,GRM188R71H103KA01D,Murata Electronics North America,CAP CER 10000PF 50V 10% X7R 0603,2328600,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-7213-1-ND,GRM188R71H103KA01J,Murata Electronics North America,CAP CER 10000PF 50V 10% X7R 0603,593089,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1511-1-ND,GRM188R71H103MA01D,Murata Electronics North America,CAP CER 10000PF 50V 20% X7R 0603,114838,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,Â±20%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1563-1-ND,GRM188F51H103ZA01D,Murata Electronics North America,CAP CER 10000PF 50V Y5V 0603,26982,0,0.1,0,1,Cut Tape (CT),GRM,10000pF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-6394-1-ND,GRM1887U1H103JA01D,Murata Electronics North America,CAP CER 10000PF 50V 5% U2J 0603,256,0,0.27,0,1,Cut Tape (CT),GRM,10000pF,Â±5%,50V,U2J,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,10000pF,,
