"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Target color?,Bright,Stock,Query,Package,Device
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1249-ND,SLR-342VC3F,Rohm Semiconductor,LED 3.1MM 650NM RED TRANSPARENT,3998,0,0.55,0,1,Bulk,-,Red,630nm,650nm,25mcd,2V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1228-ND,SLR-322VR3F,Rohm Semiconductor,LED 3.1X2MM 650NM RED DIFFUSED,3573,0,0.55,0,1,Bulk,-,Red,630nm,650nm,10mcd,2V,10mA,50Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-322VC3F.jpg,511-1227-ND,SLR-322VC3F,Rohm Semiconductor,LED 3.1X2MM 650NM RED TRANSP,3249,0,0.55,0,1,Bulk,-,Red,630nm,650nm,16mcd,2V,10mA,35Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343VCT32,SLI-343URC3F.jpg",511-1211-ND,SLI-343URC3F,Rohm Semiconductor,LED 3.1MM 630NM RED TRANSPARENT,4409,0,0.72,0,1,Bulk,-,Red,620nm,630nm,450mcd,1.9V,20mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sli-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343VCT32,SLI-343URC3F.jpg",511-1210-ND,SLI-343UR3F,Rohm Semiconductor,LED 3.1MM 630NM RED DIFFUSED,1602,0,0.72,0,1,Bulk,-,Red,620nm,630nm,350mcd,1.9V,20mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,bright,Stock,RedbrightStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Clear.jpg,511-1635-1-ND,SLR343WBD2PT21,Rohm Semiconductor,LED 3MM WHITE CLEAR 40DEG,1846,0,1.98,0,1,Cut Tape (CT),SLR-343,"White, Cool",6900K,-,3300mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,"White, Cool",LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/photos/Rohm%20Photos/SLR343WBC7T3.JPG,511-1612-ND,SLR343WBC7T3,Rohm Semiconductor,LED 3MM WHITE TRANSPARENT,3000,0,1.04,0,1,Bulk,SLR-343,"White, Cool",6900K,-,680mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,bright,Stock,"White, CoolbrightStock",LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/photos/Rohm%20Photos/SLR343WBC7T3.JPG,511-1638-ND,SLR343WBC7T31,Rohm Semiconductor,LED 3MM WHITE CLEAR 40DEG,6709,0,1.04,0,1,Bulk,SLR-343,"White, Cool",6900K,-,680mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,"White, Cool",LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Clear.jpg,511-1636-ND,SLR343WBD2PT31,Rohm Semiconductor,LED 3MM WHITE CLEAR 40DEG,13498,0,1.81,0,1,Bulk,SLR-343,"White, Cool",6900K,-,3300mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,"White, Cool",LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1252-ND,SLR-342YY3F,Rohm Semiconductor,LED 3.1MM 585NM YELLOW DIFFUSED,12380,0,0.52,0,1,Bulk,-,Yellow,587nm,-,10mcd,2.1V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,dim,Stock,YellowdimStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
