"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Stock,Query,Package,Device,Column5
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-7991-1-ND,TAP106K035SRW,AVX Corporation,CAP TANT 10UF 35V 10% RADIAL,2309,0,2.13,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,35V,2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.236"" Dia (6.00mm)","0.394"" (10.00mm)","0.098"" (2.50mm)",F,General Purpose,,10ÂuF,,2012-0805_TANTALUM,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8963-1-ND,TAP106M035CRS,AVX Corporation,CAP TANT 10UF 35V 20% RADIAL,2644,0,2.08,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,35V,2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.236"" Dia (6.00mm)","0.453"" (11.50mm)","0.197"" (5.00mm)",F,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7368-1-ND,TAP106K035CRW,AVX Corporation,CAP TANT 10UF 35V 10% RADIAL,1882,0,1.81,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,35V,2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.236"" Dia (6.00mm)","0.453"" (11.50mm)","0.197"" (5.00mm)",F,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7367-1-ND,TAP106K025CRW,AVX Corporation,CAP TANT 10UF 25V 10% RADIAL,4777,0,1.27,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,25V,2.5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8960-1-ND,TAP106M025CRS,AVX Corporation,CAP TANT 10UF 25V 20% RADIAL,8998,0,1.28,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,25V,2.5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8962-1-ND,TAP106M025SRW,AVX Corporation,CAP TANT 10UF 25V 20% RADIAL,324,0,1.13,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,25V,2.5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.354"" (9.00mm)","0.098"" (2.50mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8961-1-ND,TAP106M025CRW,AVX Corporation,CAP TANT 10UF 25V 20% RADIAL,2,0,1.28,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,25V,2.5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8955-1-ND,TAP106K020CRW,AVX Corporation,CAP TANT 10UF 20V 10% RADIAL,1963,0,1.25,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,20V,2.9 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8956-1-ND,TAP106K020SRW,AVX Corporation,CAP TANT 10UF 20V 10% RADIAL,728,0,1.25,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,20V,2.9 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.354"" (9.00mm)","0.098"" (2.50mm)",E,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Photos/AVX%20Photos/TAP%20Series%209mm.JPG,478-8042-1-ND,TAP106K016SRW,AVX Corporation,CAP TANT 10UF 16V 10% RADIAL,8521,0,1.07,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,16V,3.2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.354"" (9.00mm)","0.098"" (2.50mm)",D,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Photos/AVX%20Photos/TAP%20Series%209mm.JPG,478-8959-1-ND,TAP106M016SRW,AVX Corporation,CAP TANT 10UF 16V 20% RADIAL,2117,0,1.07,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,16V,3.2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.354"" (9.00mm)","0.098"" (2.50mm)",D,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8958-1-ND,TAP106M016CRW,AVX Corporation,CAP TANT 10UF 16V 20% RADIAL,2346,0,1.07,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,16V,3.2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",D,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7366-1-ND,TAP106K016CRW,AVX Corporation,CAP TANT 10UF 16V 10% RADIAL,294,0,1.06,0,1,Cut Tape (CT),TAP,10ÂuF,Â±10%,16V,3.2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.200"" Dia (5.08mm)","0.413"" (10.50mm)","0.197"" (5.00mm)",D,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8957-1-ND,TAP106M016BRS,AVX Corporation,CAP TANT 10UF 16V 20% RADIAL,0,0,1.07,0,1,Cut Tape (CT),TAP,10ÂuF,Â±20%,16V,3.2 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.354"" (9.00mm)","0.197"" (5.00mm)",D,General Purpose,,10ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Photos/AVX%20Photos/TAP%20Series%206.50mm.JPG,478-7383-1-ND,TAP476K010SRW,AVX Corporation,CAP TANT 47UF 10V 10% RADIAL,2362,0,2.17,0,1,Cut Tape (CT),TAP,47ÂuF,Â±10%,10V,1.7 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.256"" Dia (6.50mm)","0.394"" (10.00mm)","0.098"" (2.50mm)",G,General Purpose,,47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8988-1-ND,TAP476K010BRW,AVX Corporation,CAP TANT 47UF 10V 10% RADIAL,740,0,2.09,0,1,Cut Tape (CT),TAP,47ÂuF,Â±10%,10V,1.7 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.256"" Dia (6.50mm)","0.394"" (10.00mm)","0.197"" (5.00mm)",G,General Purpose,STOCK,47ÂuFSTOCK,,2012-0805_TANTALUM,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8970-1-ND,TAP225K050SRW,AVX Corporation,CAP TANT 2.2UF 50V 10% RADIAL,2000,0,1.33,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±10%,50V,3.5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.217"" Dia (5.50mm)","0.354"" (9.00mm)","0.098"" (2.50mm)",E,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8971-1-ND,TAP225M035BRW,AVX Corporation,CAP TANT 2.2UF 35V 20% RADIAL,1815,0,1.06,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±20%,35V,5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.295"" (7.50mm)","0.197"" (5.00mm)",B,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8972-1-ND,TAP225M035SRW,AVX Corporation,CAP TANT 2.2UF 35V 20% RADIAL,1220,0,1.06,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±20%,35V,5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.295"" (7.50mm)","0.098"" (2.50mm)",B,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-7372-1-ND,TAP225K035SRW,AVX Corporation,CAP TANT 2.2UF 35V 10% RADIAL,0,0,0.91,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±10%,35V,5 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.295"" (7.50mm)","0.098"" (2.50mm)",B,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8969-1-ND,TAP225K025SRW,AVX Corporation,CAP TANT 2.2UF 25V 10% RADIAL,2936,0,0.83,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±10%,25V,6 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP104M035DCS.jpg,478-8968-1-ND,TAP225K025DTW,AVX Corporation,CAP TANT 2.2UF 25V 10% RADIAL,3000,0,1.03,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±10%,25V,6 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-7371-1-ND,TAP225K016SRW,AVX Corporation,CAP TANT 2.2UF 16V 10% RADIAL,7035,0,0.79,0,1,Cut Tape (CT),TAP,2.2ÂuF,Â±10%,16V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.098"" (2.50mm)",A,General Purpose,,2.2ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7375-1-ND,TAP226K035CRW,AVX Corporation,CAP TANT 22UF 35V 10% RADIAL,1443,0,3.1,0,1,Cut Tape (CT),TAP,22ÂuF,Â±10%,35V,1.3 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.335"" Dia (8.50mm)","0.551"" (14.00mm)","0.197"" (5.00mm)",K,General Purpose,,22ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7376-1-ND,TAP226K035SRW,AVX Corporation,CAP TANT 22UF 35V 10% RADIAL,707,0,3.1,0,1,Cut Tape (CT),TAP,22ÂuF,Â±10%,35V,1.3 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.335"" Dia (8.50mm)","0.551"" (14.00mm)","0.098"" (2.50mm)",K,General Purpose,,22ÂuF,,,
