Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Regulator Topology,Voltage - Output,Current - Output,Voltage - Dropout (Typical),Number of Regulators,Voltage - Input,Current - Limit (Min),Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Stock,Query,Package,Device
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-18255-1-ND,TPS73601DBVR,Texas Instruments,IC REG LDO ADJ 0.4A SOT23-5,33240,0,2.15,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 5.5 V,400mA,0.075V @ 400mA,1,1.7 V ~ 5.5 V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-27063-1-ND,TPS73618DBVR,Texas Instruments,IC REG LDO 1.8V 0.4A SOT23-5,5263,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-39487-1-ND,TPS73625DBVR,Texas Instruments,IC REG LDO 2.5V 0.4A SOT23-5,2850,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41772-1-ND,TPS73630DBVR,Texas Instruments,IC REG LDO 3V 0.4A SOT23-5,2986,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,3V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-27064-1-ND,TPS73633DBVR,Texas Instruments,IC REG LDO 3.3V 0.4A SOT23-5,18039,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085ISX-3.3/NOPBCT-ND,LM1085ISX-3.3/NOPB,Texas Instruments,IC REG LDO 3.3V 3A DDPAK,4665,10000,2.27,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,3A,1.3V @ 3A,1,Up to 27V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085ISX-ADJ/NOPBCT-ND,LM1085ISX-ADJ/NOPB,Texas Instruments,IC REG LDO ADJ 3A DDPAK,1479,10000,2.27,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 15 V,3A,1.3V @ 3A,1,2.6 V ~ 29 V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085IS-12/NOPB-ND,LM1085IS-12/NOPB,Texas Instruments,IC REG LDO 12V 3A DDPAK,3164,9990,2.72,0,1,Tube,-,Positive Fixed,12V,3A,1.3V @ 3A,1,Up to 18V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085IS-5.0/NOPB-ND,LM1085IS-5.0/NOPB,Texas Instruments,IC REG LDO 5V 3A DDPAK,1814,9990,2.72,0,1,Tube,-,Positive Fixed,5V,3A,1.3V @ 3A,1,Up to 25V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-29784-1-ND,TPS75901KTTR,Texas Instruments,IC REG LDO ADJ 7.5A DDPAK,832,10000,6.55,0,1,Cut Tape (CT),-,Positive Adjustable,1.22 V ~ 5 V,7.5A,0.4V @ 7.5A,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15934-1-ND,TPS75933KTTT,Texas Instruments,IC REG LDO 3.3V 7.5A DDPAK,568,8700,6.75,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,7.5A,0.4V @ 7.5A,1,Up to 5.5V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75918.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15932-1-ND,TPS75918KTTT,Texas Instruments,IC REG LDO 1.8V 7.5A DDPAK,869,2750,6.75,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,7.5A,-,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15933-1-ND,TPS75925KTTT,Texas Instruments,IC REG LDO 2.5V 7.5A DDPAK,518,3750,6.75,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,7.5A,-,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
