Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Voltage - Zener (Nom) (Vz),Tolerance,Power - Max,Impedance (Max) (Zzt),Current - Reverse Leakage @ Vr,Voltage - Forward (Vf) (Max) @ If,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Target Voltage,Stock,Query,Package,Device
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5381BOS-ND,1N5381B,ON Semiconductor,DIODE ZENER 130V 5W AXIAL,0,0,Call,0,5000,Bulk,-,130V,å±5%,5W,190 Ohm,500nA @ 98.8V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,130V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5350BRLGOSCT-ND,1N5350BRLG,ON Semiconductor,DIODE ZENER 13V 5W AXIAL,11853,0,0.54,0,1,Cut Tape (CT),-,13V,å±5%,5W,2.5 Ohm,1åµA @ 9.9V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,13V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5350BGOS-ND,1N5350BG,ON Semiconductor,DIODE ZENER 13V 5W AXIAL,5488,3000,0.53,0,1,Bulk,-,13V,å±5%,5W,2.5 Ohm,1åµA @ 9.9V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,13V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5350BRLOSCT-ND,1N5350BRL,ON Semiconductor,DIODE ZENER 13V 5W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,13V,å±5%,5W,2.5 Ohm,1åµA @ 9.9V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,13V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5350BOS-ND,1N5350B,ON Semiconductor,DIODE ZENER 13V 5W AXIAL,0,0,Call,0,5000,Bulk,-,13V,å±5%,5W,2.5 Ohm,1åµA @ 9.9V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,13V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5351BRLGOSCT-ND,1N5351BRLG,ON Semiconductor,DIODE ZENER 14V 5W AXIAL,11101,0,0.54,0,1,Cut Tape (CT),-,14V,å±5%,5W,2.5 Ohm,1åµA @ 10.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,14V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5351BGOS-ND,1N5351BG,ON Semiconductor,DIODE ZENER 14V 5W AXIAL,5960,0,0.53,0,1,Bulk,-,14V,å±5%,5W,2.5 Ohm,1åµA @ 10.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,14V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5351BOS-ND,1N5351B,ON Semiconductor,DIODE ZENER 14V 5W AXIAL,0,0,Call,0,5000,Bulk,-,14V,å±5%,5W,2.5 Ohm,1åµA @ 10.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,14V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5383BRLGOSCT-ND,1N5383BRLG,ON Semiconductor,DIODE ZENER 150V 5W AXIAL,12639,280000,0.52,0,1,Cut Tape (CT),-,150V,å±5%,5W,330 Ohm,500nA @ 114V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,150V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5383BGOS-ND,1N5383BG,ON Semiconductor,DIODE ZENER 150V 5W AXIAL,2977,0,0.53,0,1,Bulk,-,150V,å±5%,5W,330 Ohm,500nA @ 114V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,150V,,
