Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Package / Case,Supplier Device Package,Stock,Package,Device
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,ATTINY25V-10PU-ND,ATTINY25V-10PU,Atmel,IC MCU 8BIT 2KB FLASH 8DIP,2565,0,2.59,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-DIP (0.300"", 7.62mm)",8-PDIP,,DIP762W26P254L990H368Q8_HS,TH-DIP8
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45V-10SU-ND,ATTINY45V-10SU,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,13493,0,2.58,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45V-10SH-ND,ATTINY45V-10SH,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,821,0,2.58,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/images/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-15STCT-ND,ATTINY25V-15ST,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,3533,0,2.57,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,8MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 3.6 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25-15STCT-ND,ATTINY25-15ST,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,3328,0,2.57,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SSHRCT-ND,ATTINY25V-10SSHR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,2890,0,2.54,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,SOIC127P600X175-8L86_HS,SMD-SOIC8-JEDEC
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SSURCT-ND,ATTINY25V-10SSUR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,1760,0,2.54,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,SOIC127P600X175-8L86_HS,SMD-SOIC8-JEDEC
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SHRCT-ND,ATTINY25V-10SHR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,2000,0,2.54,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SURCT-ND,ATTINY25V-10SUR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,1888,0,2.54,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85V-10SU-ND,ATTINY85V-10SU,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,7349,0,2.52,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85V-10SH-ND,ATTINY85V-10SH,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,1127,0,2.52,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
