"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Stock Color?,Stock,Brightness,Query,Package,Device,Column3
http://optoelectronics.liteon.com/upload/download/DS22-2000-222/S_110_LTST-C191KFKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1445-1-ND,LTST-C191KFKT,Lite-On Inc,LED RED ORAN CLEAR THIN 0603 SMD,19112,0,0.28,0,1,Cut Tape (CT),-,Orange,605nm,611nm,60mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,Stock,,,Orange,,,
http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/S_110_LTST-C194TBKT.pdf,http://media.digikey.com/Photos/Lite%20On%20Photos/LTW-C194TS5.jpg,160-1837-1-ND,LTST-C194TBKT,Lite-On Inc,LED BLUE RECT CLEAR 0603,52586,0,0.49,0,1,Cut Tape (CT),-,Blue,467.5nm,468nm,104mcd,3.3V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,#N/A,Stock,bright,BluebrightStock,,2012-0805,
http://optoelectronics.liteon.com/upload/download/DS22-2005-086/S_110_LTST-C193KFKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1829-1-ND,LTST-C193KFKT-5A,Lite-On Inc,LED ORANGE RECT CLEAR 0603,21207,0,0.43,0,1,Cut Tape (CT),-,Orange,605nm,611nm,28.1mcd,2V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,Stock,,,Orange,,,
http://optoelectronics.liteon.com/upload/download/DS22-2010-0196/S_110_LTST-C194KFKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C194KFKT.jpg,160-1833-1-ND,LTST-C194KFKT,Lite-On Inc,LED ORANGE RECT CLEAR 0603,13522,0,0.43,0,1,Cut Tape (CT),-,Orange,605nm,611nm,162.5mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,Stock,,,Orange,,,
http://optoelectronics.liteon.com/upload/download/DS22-2004-186/P_100_LTST-C193TGKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1832-1-ND,LTST-C193TGKT-5A,Lite-On Inc,LED GREEN RECT CLEAR 0603,39110,0,0.51,0,1,Cut Tape (CT),-,Green,527.5nm,525nm,154mcd,2.8V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,#N/A,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS22-2004-201/S_110_LTW-C191TS5.pdf,http://media.digikey.com/photos/Lite%20On%20Photos/LTW-C191TS5.jpg,160-1724-1-ND,LTW-C191TS5,Lite-On Inc,LED WHITE YELLOW LENS 0603 SMD,62831,0,0.58,0,1,Cut Tape (CT),-,"White, Cool",8700K,-,112.5mcd,2.93V,5mA,130Â°,"Diffused, Tinted","Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,#N/A,Stock,bright,"White, CoolbrightStock",,2012-0805,
http://optoelectronics.liteon.com/upload/download/DS22-2004-203/S_110_LTW-C193TS5.pdf,http://media.digikey.com/photos/Lite%20On%20Photos/LTW-C193TS5.jpg,160-1721-1-ND,LTW-C193TS5,Lite-On Inc,LED WHITE 0603 SMD,53529,0,0.54,0,1,Cut Tape (CT),-,"White, Cool",8700K,-,108.5mcd,2.93V,5mA,130Â°,"Diffused, Tinted","Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.40mm,Surface Mount,#N/A,,,"White, Cool",,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190EKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190AKT,LTST-C190CKT,LTST-C190EKT,LTST-C190GKT,LTST-C190YKT.jpg",160-1182-1-ND,LTST-C190EKT,Lite-On Inc,LED RED ORANGE CLEAR 0603 SMD,99743,0,0.3,0,1,Cut Tape (CT),-,Red,621nm,630nm,2mcd,2V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,dim,ReddimStock,,2012-0805,
"http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C150,170,190KxKT.pdf","http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1433-1-ND,LTST-C190KAKT,Lite-On Inc,LED RED ORANGE CLEAR 0603 SMD,30517,0,0.43,0,1,Cut Tape (CT),-,Red,615nm,621nm,80mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,bright,RedbrightStock,,2012-0805,
http://optoelectronics.liteon.com/upload/download/DS22-2000-224/S_110_LTST-C191KSKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1448-1-ND,LTST-C191KSKT,Lite-On Inc,LED YELLOW CLEAR THIN 0603 SMD,147874,0,0.32,0,1,Cut Tape (CT),-,Yellow,591nm,588nm,104mcd,2.1V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,Stock,Stock,bright,YellowbrightStock,,2012-0805,
