"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Stock,Query,Package,Column4,Column5
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-1671-1-ND,TAJB105K035RNJ,AVX Corporation,CAP TANT 1UF 35V 10% 1210,19976,0,0.7,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,35V,6.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3075-1-ND,TAJB105K050RNJ,AVX Corporation,CAP TANT 1UF 50V 10% 1210,11246,0,1.35,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,50V,7 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%201.6L,0.85W.jpg",478-4184-1-ND,TACL105K016XTA,AVX Corporation,CAP TANT 1UF 16V 10% 0603,4676,0,2.16,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,1.0åµF,å±10%,16V,7.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0603 (1608 Metric),"0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.039"" (1.00mm)",-,L,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%201.6L,0.85W.jpg",478-2554-1-ND,TACL105M010XTA,AVX Corporation,CAP TANT 1UF 10V 20% 0603,8977,0,2.67,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,1.0åuF,å±20%,10V,7.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0603 (1608 Metric),"0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.039"" (1.00mm)",-,L,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%201.6L,0.85W.jpg",478-4183-1-ND,TACL105K010XTA,AVX Corporation,CAP TANT 1UF 10V 10% 0603,3922,0,2.67,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,1.0åuF,å±10%,10V,7.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0603 (1608 Metric),"0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.039"" (1.00mm)",-,L,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-3267-1-ND,TACR105M025XTA,AVX Corporation,CAP TANT 1UF 25V 20% 0805,5627,0,2.82,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,1.0åµF,å±20%,25V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-5748-1-ND,TAJA105M020RNJ,AVX Corporation,CAP TANT 1UF 20V 20% 1206,153259,0,0.32,0,1,Cut Tape (CT),TAJ,1.0åµF,å±20%,20V,9 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3050-1-ND,TAJR105M016RNJ,AVX Corporation,CAP TANT 1UF 16V 20% 0805,11072,0,0.45,0,1,Cut Tape (CT),TAJ,1.0åµF,å±20%,16V,20 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3857-1-ND,TAJA105M025RNJ,AVX Corporation,CAP TANT 1UF 25V 20% 1206,12619,0,0.53,0,1,Cut Tape (CT),TAJ,1.0åuF,å±20%,25V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3858-1-ND,TAJA105M035RNJ,AVX Corporation,CAP TANT 1UF 35V 20% 1206,7788,0,0.56,0,1,Cut Tape (CT),TAJ,1.0åuF,å±20%,35V,7.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8927-1-ND,TAJR105K020RNJ,AVX Corporation,CAP TANT 1UF 20V 10% 0805,4241,0,0.59,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2363-1-ND,TAJA105K025RNJ,AVX Corporation,CAP TANT 1UF 25V 10% 1206,20751,0,0.67,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,25V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3872-1-ND,TAJB105M035RNJ,AVX Corporation,CAP TANT 1UF 35V 20% 1210,21210,0,0.7,0,1,Cut Tape (CT),TAJ,1.0åuF,å±20%,35V,6.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8928-1-ND,TAJR105K025RNJ,AVX Corporation,CAP TANT 1UF 25V 10% 0805,3855,0,0.71,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,25V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3962-1-ND,TAJR105K016RNJ,AVX Corporation,CAP TANT 1UF 16V 10% 0805,8599,0,1.1,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,16V,20 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-7526-1-ND,TAJA105M050RNJ,AVX Corporation,CAP TANT 1UF 50V 20% 1206,8072,0,1.05,0,1,Cut Tape (CT),TAJ,1.0åµF,å±20%,50V,6.6 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åµF,,,
