"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height,Number of Terminations,In Adafruit Kit,Common part,Stock Part,5% Rohs Part,1% Rohs Part,Stock Resistance,Stock,Query,Package,Column3,Column4,Column5,Column6
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-1K8.jpg,1.8KEBK-ND,CFR-12JB-52-1K8,Yageo,RES 1.8K OHM 1/6W 5% AXIAL,7523,0,0.1,0,1,Bulk,CFR,1.8k,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,1.8kå±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-120R.jpg,120EBK-ND,CFR-12JB-52-120R,Yageo,RES 120 OHM 1/6W 5% AXIAL,2638,0,0.1,0,1,Bulk,CFR,120,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,120å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-150R.jpg,150EBK-ND,CFR-12JB-52-150R,Yageo,RES 150 OHM 1/6W 5% AXIAL,3805,0,0.1,0,1,Bulk,CFR,150,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,150å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-180R.jpg,180EBK-ND,CFR-12JB-52-180R,Yageo,RES 180 OHM 1/6W 5% AXIAL,5444,0,0.1,0,1,Bulk,CFR,180,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,180å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-200R.jpg,200EBK-ND,CFR-12JB-52-200R,Yageo,RES 200 OHM 1/6W 5% AXIAL,4637,0,0.1,0,1,Bulk,CFR,200,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,200å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-220R.jpg,220EBK-ND,CFR-12JB-52-220R,Yageo,RES 220 OHM 1/6W 5% AXIAL,17109,0,0.1,0,1,Bulk,CFR,220,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,220å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-4R7.jpg,4.7EBK-ND,CFR-12JB-52-4R7,Yageo,RES 4.7 OHM 1/6W 5% AXIAL,6734,0,0.1,0,1,Bulk,CFR,4.7,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,4.7å±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-240R.jpg,240EBK-ND,CFR-12JB-52-240R,Yageo,RES 240 OHM 1/6W 5% AXIAL,2041,0,0.1,0,1,Bulk,CFR,240,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,240å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-270R.jpg,270EBK-ND,CFR-12JB-52-270R,Yageo,RES 270 OHM 1/6W 5% AXIAL,18209,0,0.1,0,1,Bulk,CFR,270,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,270å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-300R.jpg,300EBK-ND,CFR-12JB-52-300R,Yageo,RES 300 OHM 1/6W 5% AXIAL,7169,0,0.1,0,1,Bulk,CFR,300,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,300å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-330R.jpg,330EBK-ND,CFR-12JB-52-330R,Yageo,RES 330 OHM 1/6W 5% AXIAL,24128,0,0.1,0,1,Bulk,CFR,330,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,330å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-470K.jpg,470KEBK-ND,CFR-12JB-52-470K,Yageo,RES 470K OHM 1/6W 5% AXIAL,5691,0,0.1,0,1,Bulk,CFR,470k,å±5%,"0.167W, 1/6W",Carbon Film,-,-700ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,470kå±5%,,,,,
