Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,,Stock,Query,Package,Device
http://www.irf.com/product-info/datasheets/data/irl520nspbf.pdf,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/D%C2%B2Pak,TO-263_418AA-01.jpg",IRL520NSPBF-ND,IRL520NSPBF,International Rectifier,MOSFET N-CH 100V 10A D2PAK,11352,0,1.84,0,1,Tube,HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,10A (Tc),"180 mOhm @ 6A, 10V",2V @ 250µA,20nC @ 5V,440pF @ 25V,3.8W,Surface Mount,"TO-263-3, D_Pak (2 Leads + Tab), TO-263AB",D2PAK,,,,TO508P1524X483-3_HS,SMD-DDPAK-263-3
http://www.irf.com/product-info/datasheets/data/irlr120npbf.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3.jpg,IRLR120NPBF-ND,IRLR120NPBF,International Rectifier,MOSFET N-CH 100V 10A DPAK,973,0,1.13,0,1,Tube,HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,10A (Tc),"185 mOhm @ 6A, 10V",2V @ 250µA,20nC @ 5V,440pF @ 25V,48W,Surface Mount,"TO-252-3, DPak (2 Leads + Tab), SC-63",D-Pak,,Stock,,TO456P990X238-3_HS,SMD-DPAK-252-3
http://www.vishay.com/docs/71333/2n7002k.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,2N7002K-T1-E3CT-ND,2N7002K-T1-E3,Vishay Siliconix,MOSFET N-CH 60V 300MA SOT-23,217900,0,0.21,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,300mA (Ta),"2 Ohm @ 500mA, 10V",2.5V @ 250µA,0.6nC @ 4.5V,30pF @ 25V,350mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/71331/71331.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/Pkg%205868.jpg,SI1022R-T1-GE3CT-ND,SI1022R-T1-GE3,Vishay Siliconix,MOSFET N-CH 60V 330MA SC-75A,25487,0,0.49,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,330mA (Ta),"1.25 Ohm @ 500mA, 10V",2.5V @ 250µA,0.6nC @ 4.5V,30pF @ 25V,250mW,Surface Mount,SC-75A,SC-75A,,Stock,,SOT50P160X85-3L20_HS,SMD-SOT-363-SC-70-3
http://www.vishay.com/docs/71333/2n7002k.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,2N7002K-T1-GE3CT-ND,2N7002K-T1-GE3,Vishay Siliconix,MOSFET N-CH 60V 300MA SOT23-3,35492,0,0.21,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,300mA (Ta),"2 Ohm @ 500mA, 10V",2.5V @ 250µA,0.6nC @ 4.5V,30pF @ 25V,350mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",TO-236,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/73557/si1300bd.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/Pkg%205549.jpg,SI1300BDL-T1-GE3CT-ND,SI1300BDL-T1-GE3,Vishay Siliconix,MOSFET N-CH 20V 400MA SC-70-3,1043,0,0.54,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",20V,400mA (Tc),"850 mOhm @ 250mA, 4.5V",1V @ 250µA,0.84nC @ 4.5V,35pF @ 10V,200mW,Surface Mount,"SC-70, SOT-323",SC-70-3,,,,SOT65P210X110-3L20_HS,SMD-SOT-363-SC-70-3
http://www.vishay.com/docs/62661/si1062x.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SC-89-3_463C.jpg,SI1062X-T1-GE3CT-ND,SI1062X-T1-GE3,Vishay Siliconix,MOSFET N-CH 20V SC-89,11239,0,0.52,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,-,"420 mOhm @ 500mA, 4.5V",1V @ 250µA,2.7nC @ 8V,43pF @ 10V,220mW,Surface Mount,"SC-89, SOT-490",SC-89-3,,,,SOTFL50P160X80-3_HS,SMD-SC-89-3
http://www.vishay.com/docs/63399/si1308edl.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/Pkg%205549.jpg,SI1308EDL-T1-GE3CT-ND,SI1308EDL-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 1.4A SC-70-3,2336,0,0.5,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,1.4A (Tc),"132 mOhm @ 1.4A, 10V",1.5V @ 250µA,4.1nC @ 10V,105pF @ 15V,500mW,Surface Mount,"SC-70, SOT-323",SOT-323,,,,SOT65P210X110-3L20_HS,SMD-SOT-363-SC-70-3
http://www.vishay.com/docs/67327/si1480dh.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SI1480DH-T1-GE3CT-ND,SI1480DH-T1-GE3,Vishay Siliconix,MOSFET N-CH 100V 2.6A SOT-363,5278,0,0.54,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,2.6A (Tc),"200 mOhm @ 1.9A, 10V",3V @ 250µA,5nC @ 10V,130pF @ 50V,2.8W,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,,,SOT65P210X110-6L20_HS,SMD-SOT-363-SC-70-6
http://www.vishay.com/docs/62831/sud06n10-225l-ge3.pdf,"http://media.digikey.com/Photos/Vishay%20Siliconix%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.jpg",SUD06N10-225L-GE3CT-ND,SUD06N10-225L-GE3,Vishay Siliconix,MOSFET N-CH 100V 6.5A DPAK,4653,0,1.73,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,6.5A (Tc),"200 mOhm @ 3A, 10V",3V @ 250µA,4nC @ 5V,240pF @ 25V,1.25W,Surface Mount,"TO-252-3, DPak (2 Leads + Tab), SC-63",TO-252AA,,,,TO456P990X238-3_HS,SMD-DPAK-252-3
http://www.vishay.com/docs/72504/si3442bd.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SI3442BDV-T1-E3CT-ND,SI3442BDV-T1-E3,Vishay Siliconix,MOSFET N-CH 20V 3A 6-TSOP,17989,0,0.58,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,3A (Ta),"57 mOhm @ 4A, 4.5V",1.8V @ 250µA,5nC @ 4.5V,295pF @ 10V,860mW,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/69075/si3456dd.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SI3456DDV-T1-GE3CT-ND,SI3456DDV-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 6.3A 6-TSOP,7444,0,0.47,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,6.3A (Tc),"40 mOhm @ 5A, 10V",3V @ 250µA,9nC @ 10V,325pF @ 15V,2.7W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/62654/si3442cdv.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SI3442CDV-T1-GE3CT-ND,SI3442CDV-T1-GE3,Vishay Siliconix,MOSFET N-CH 20V 8A 6TSOP,2867,0,0.44,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",20V,8A (Tc),"27 mOhm @ 6.5A, 10V",1.5V @ 250µA,14nC @ 10V,335pF @ 10V,2.7W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/67934/67934.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SQ3456BEV-T1-GE3CT-ND,SQ3456BEV-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 7.8A 6TSOP,468,0,0.7,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,7.8A (Tc),"35 mOhm @ 6A, 10V",2.5V @ 250µA,10nC @ 10V,370pF @ 15V,4W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/73893/si1070x.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/Pkg%205880.jpg,SI1070X-T1-GE3CT-ND,SI1070X-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 1.2A SOT563F,10286,0,0.54,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",30V,-,"99 mOhm @ 1.2A, 4.5V",1.55V @ 250µA,8.3nC @ 5V,385pF @ 15V,236mW,Surface Mount,"SOT-563, SOT-666",SC-89-6,,,,SOTFL50P160X60-6_HS,SMD-SC-89-6
http://www.vishay.com/docs/65049/sq3442ev.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SQ3442EV-T1-GE3CT-ND,SQ3442EV-T1-GE3,Vishay Siliconix,MOSFET N-CH 20V 4.3A 6TSOP,267,0,0.7,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,4.3A (Tc),"55 mOhm @ 4A, 4.5V",1.6V @ 250µA,5.5nC @ 4.5V,405pF @ 10V,1.7W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/69004/si4128dy.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,SI4128DY-T1-GE3CT-ND,SI4128DY-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 10.9A 8-SOIC,1521,0,0.66,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,10.9A (Ta),"24 mOhm @ 7.8A, 10V",2.5V @ 250µA,12nC @ 10V,435pF @ 15V,5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,SMD-SOIC-JEDEC
